id	tweet	class
32	if you aint bout that Murder Game pussy nigga shut up	OFF
33	if you're toes ain't done you pussy stinks	OFF
34	im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that	OFF
35	is that ya bitch	OFF
36	it aint nothing to cut a bitch off	OFF
37	jus meet son now he ya mane ass bitches #Shots	OFF
38	lames crying over hoes thats tears of a clown	OFF
39	like Snoop said in 94 we dont love these hoes	OFF
40	momma said no pussy cats inside my doghouse	NOT
41	most hated but the hoes favorite #2MW #SevenOne # http //tco/BMdSVMc3rC	OFF
42	nice girls bad  make me get naughty Bad yello hoe  real nice body Down south chick  like em real thickhttp //tco/bzRDl3kF7U	OFF
43	pimps up pimps up hoes down Future voice	OFF
44	post a picture of that pussy get 200 likes	OFF
45	pussy is a powerful drug  #128517  #HappyHumpDay http //tco/R8jsymiB5b	OFF
46	quick piece of pussy call it a drive by	OFF
47	running round here like some brand new pussy thats bout to get fucked	OFF
48	these bitches even worst they'll send them guys for you	OFF
49	these hoes like niggas that spend money not talk bout it	OFF
50	we dont trust these niggas all these bitches	OFF
51	yall niggas b cuffing hoes cause yall aint never have bitches	OFF
52	you dodge a bullet  #128517   #8220 @DaRealKha All da bitches I cut off pregnant or bound to be thank God  #128591 8221 	OFF
53	young Pill Chamberlain these bitches love my music	OFF
54	128514  #128514  #128514  #128514  #128514  #128514  #128514  #128514  #128514  #128514  #128514 @VandalSavage_  Teanna Trump probably cleaner than most of these twitter hoes but	OFF
55	128514  #128514  #128514  #128514  #128514  #128514  #128514  #128514  #128514  #128514 @DaHomieFuzz  Gay niggas couldn't wait to act like bitches tonight	OFF
56	128514  #128514  #128514 @The_Paradox  And ima steal his cat n replace it with a pitbull  #128514  #128514  #128514  #128514  RT @80sbaby4life  @The_Paradox He a bitch you should do it	OFF
57	   he's gone always be a hoe	OFF
58	Son of a bitch took my Tic Tacs  I like this movie	OFF
	All I wanna do is get money and fuck model bitches- Russell Simmons	OFF
	2015seniorprobs  I probably wouldn #8217 t mind school as much if we didn #8217 t have to deal with bitch ass teachers Retweet	OFF
	A7XDemery  I'm a fucking fag they said	OFF
	ARIZZLEINDACUT  Females think dating a pussy is cute now http //tco/VxBJg26Gszhow does doing this stuff make him a pussy	OFF
	Addicted2Guys  -SimplyAddictedToGuys http //tco/1jL4hi8ZMFwoof woof hot scally lad	NOT
	AdoreBellaaa  Have ya ever asked your bitch for other bitches - kanye voiceYes	OFF
	AdoreZoey  How u gone bring ur side bitch to a game where You know Ya gf friends at   #128553  #128553  #128553  #128553 I SWEAR	OFF
	AllAboutManFeet  http //tco/3gzUpfuMevwoof woof and hot soles	NOT
	Allyhaaaaa  Lemmie eat a Oreo    do these dishesOne oreo Lol	NOT
	Almightywayne__  @JetsAndASwisher @Gook____ bitch fuck u http //tco/pXmGA68NC1maybe you'll get better Just http //tco/TPreVwfq0S	OFF
	Almightywayne__  Fuck Red Malone man bitch ass niggahcould you please use complete sentences	OFF
	ArizonasFinest6  Why the eggplant emoji doey he say she looked like scream lmao	NOT
	AutoWorId  Hennessey Venom GT  #128584  http //tco/i8eGMnKaJ9that's one sexy bitch	OFF
	BOSSBYTCHH  Him seh me pussy wetter then a shower curtain#ahmesehwetness lmao	OFF
	BRO_HEN314  #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit	OFF
	BVSEDCHINK  Yo fuck skateboarding  all y'all some wood pushing faggots man  ball is life http //tco/VBCzP6HMT7 @AmJemieBenn	OFF
	BabyAnimalPics  baby monkey bathtime http //tco/7KPWAdLF0R Awwwwe This is soooo ADORABLE	NOT
	BaylaaGottaBody   #128514  #128514  #128514  #128514  I ain't shit Damn Skippy lol	OFF
	BeEasyJrizzy  u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b  gt 30%chance	OFF
	BeenBasedB  @_KudaBrazyy http //tco/LuUBGL9Y5u0 rings 0 mvps 0 bitches lol	OFF
	BeenFLYnSolo  ppl talk bad about the ghetto/hood  but as a kid growing up  a nigga had funnnnnnn	OFF
	BestProAdvice  The facts on tattoostattoo http //tco/ZwnbhpDZ8ehe's a pussy with not tattooing them nipples	OFF
	Bill215_   #128175  #128175  #128175  RT @nel_ayden Bitches be wanting to act like niggas so bad  #128553  #128553  #128553  that shit aint cuteeeeebut niggas act like bitches	OFF
	BitchJones92  Get worshiping bitch http //tco/R37CejCjouwoof woof	OFF
	BlackChiquitita  Wow RT @thatmanpalmer I'm lost Are those buttcheek piercings http //tco/yn6guyOUQ6yeah she's a hoe	OFF
	BlackNerdJade  Ok  sisShe'd rather be a broke bitch  shrugs  she'll have to tell me how it works for her	OFF
	Blackman38Tide  @WhaleLookyHere @HowdyDowdy11 queergaywad	OFF
	BrokenPiecesmsc  @ItsNotAdam faggot read my tweets after dat kit wasn't even funny lol	OFF
	BrosConfessions  This bitch was so ungrateful http //tco/06e77bGwbxfr  LULWHORE	OFF
	CASHandBOOBIES  I been kidnapped yo bitch	OFF
	CB_Baby24  @white_thunduh alsarabssshes a beaner smh you can tell hes a mexican	OFF
	CCobey  @AydanMcCoy happy birthday nigsThanks yo	OFF
	CHlLDHOODRUINER  when ur teacher tells u that u have homework https //tco/RKk5vawIj1this bitch need to go	OFF
	CaelanG15 @22EdHam  @CaelanG15 that nigga was eating that hoe lolHell Yea lol john Paulnigga said john paul http //tco/OSIpBKPr9h	OFF
	CanIFuckOrNah  What would y'all lil ugly bald headed bitches do if they stop making make-up    weave	OFF
	CarelessOne92  Leafs better win this damn game so I can go riot and shit #EarlyChristmasyou better start looting my nig	OFF
	CauseWereGuys  Going back to school sucks more dick than the hoes who attend it	OFF
	CauseWereGuys  On my way to fuck yo bitch http //tco/j906T5zE2Rme as a 9 year old	OFF
	CeleyNichole  @white_thunduh how come you never bring me foodi dont have a car retard	OFF
	ChadMFVerbeck  If Richnow doesn't show up with hella tinder hoes Im not his friend anymorechill I brought like like 8 prople	OFF
	ChandlerParsons  How bout them CowboysShutup pussy	OFF
	ClicquotSuave  LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http //tco/AAnpSUjmYI bitch want likes for some depressing shitfoh	OFF
	Coley_Cee  @lil_aerii girl you know I was spitting that G shit to you    you was going lbvsbitch plz	OFF
	Coley_Cee  Let me make a couple tweets off cuzzo page  so I won't get in twitter jaillmao bitch don't trick me again	OFF
	ComedyPosts  Harlem shake is just an excuse to go full retard for 30 seconds	OFF
	ComedyTruth  amen miley  #128591  http //tco/P2Kb2tfyxrokay  but she don't need to act like a hoe just bc she'semotionally damagedfoh	OFF
	CoryBandz  having one loyal female is wayyyyy better than having hoes   idc  #128175 	OFF
	Crhedrys  Pussy licking pussy meow meow #StopWhitePeople2014  #128049  https //tco/KeegDCjS5K #8221    #128533 	OFF
	DBAB_Holloway  Check out our 12th man #CowboysNationeven with all those faggot ny fans in the stands	OFF
	DGotBricks  What happen to them vixen ent bitchesthey got ran and threw to the side like a foothill bitch	OFF
	DaeDaviDavie  @white_thunduh im the bitch okay nudes pat  #128554  #128527  #128056 wow	OFF
	DevilGrimz  @VigxRArts you're fucking gay  blacklisted hoeHolding out for #TehGodClan anyway http //tco/xUCcwoetmn	OFF
	DiamondLoudKush  The fuck be wrong with these bitchesNobody knows	OFF
	Dietrich1892  Yall shut up pmake me bitch	OFF
	DionaIrish  I hate aI'm pregnanttype of bitch	OFF
	DoYou_Q  Got bitches in the DM but I don't ever read'emwhich is y your top 3	OFF
	DomWorldPeace  Baseball season for the win #YankeesThis is where the love started	NOT
	Dommoneek  Little stupid as bitch I don't fuck with yoooooouuuu	OFF
	DreadheadAri  she really asked me that dead ass serious tho  all i could say wasbitch wheetLOL	OFF
	DunderbaIl  I'm an early bird and I'm a night owl  so I'm wise and have worms	NOT
	EdgarPixar  Overdosing on heavy drugs doesn't sound bad tonightI do that pussy shit every day	NOT
	El_Grillo1  Pit Bulls Photographed As Lovely Fairy Tale Creatures http //tco/Q0Sm89oOLh #8221   They  are  fairy tale creatures	NOT
	Ferocious_Ghost  @1stName_Bravo Awfag  don't tweetawto me lol	OFF
	FloKid88  As long as the Lakers trash from now on  I could careless And that's real CC  @BENBALLER hahaha	NOT
	Frosstyy_  @h0rheyd I didn't say anything thokiss me then faggot	OFF
	FunnyPicsDepot  this theI play soccer  cheat on girls  and wear khaki coloured cargoshaircut http //tco/ZUai7qWBIR #128514  yup	NOT
	G27Status  I could go for a fat ass bitch on my lapsame	OFF
	GEDMelle  17 missed calls  #128544  #128545 Das yo PO bitch twitter finna be screamn #FreeMoneyMelle	OFF
	GTM_Al  Ya side bitch gotta know it's rules to this shitanybody ask you my cousin from jersey thinkin bout movinglmmfao  #128514  #128514  #128514  #128514 	OFF
	GagaTom1   #8220 @MaleFoot  3 | Amo los pies http //tco/4QE1hDkK8i #8221 fuck yeah	OFF
	GirlThatsVonte  These hoes be thinking Meat won't slap they ass  #128564  #128075 ainna bruh	OFF
	GirlThatsVonte  Yall bitches wit no edges be doing the most talking  #128553  #128564  #9995 128514  #128514  #128514 	OFF
	GirlThatsVonte  Yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit	OFF
	Girllssues  I wanna have sex with my mom fuck her right in that pussy where I came fromdamn you got hacked like fuck	OFF
	Gizzy_Jones94  If she kiss u with her eyes open watch that bitchlmfao	OFF
	Goofstroop  You a woulda coulda shoulda ass hoe  #128563  #128586 	OFF
	Gotti_LTF  Happy Bday Bitch Ass Nigga @JetsAndASwisherpreciate that bitch roll up	OFF
	HBMostDope  @1Jayee @PipinHoes used to send that bitch up	OFF
	HBMostDope  Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses #128514  #128514 	OFF
	HaloTGMG  @1stName_Bravo nigga you know we hacky sack hoesnah  I throw no look passes lmao	OFF
	HeartlessFuck  Glad I'm getting outta Atlanta Nothing but a bunch of niggas in    outta jail    dumb bitches with mad kids fuckin em	OFF
	HermosaAlma  This isn't ghettoit's smart https //tco/MPAzQ3JswfI'm doing this idc	NOT
	HiImJoriB  I would wife a hoe only cuz we wouldn't care that we cheating in each otherwhy force the relationship in the first place	OFF
	HornyFacts  Being single isn't an excuse to be a hoe@TheOneMiss_Luu	OFF
	HoskinsTy96  White boy power bitchblack power bitch	OFF
	Hudgens_11  Lets get drunk  get blowed  spit shit spark blunts    fuck hoesBro white dudes have no chill	OFF
	IScoutGirls  @verbally_abrupt bitch where u beenAround the world and back Where you been	OFF
	ItsYahBoiRay  @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off  #128514  #128514  #128514  #128514  by @anelylove  	OFF
	Itsyesie  #oomf is soooo cute But he probably has hoes on him a lot	OFF
	JAYten9  In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao http //tco/9uKD8wtZ6xlmao damn captain SaveAHoe	OFF
	JReebo  Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http //tco/FeQxgN0W6Ihot sox and legs	NOT
	JamesyNBA  I wish I was a bitch like my brother keezy  #128530 ooooow I bet you do	OFF
	JasminePore  If you dressed up as a cat for Halloween you are basicor a pussy	OFF
	Jewelxo  Can pornhub just get a gaming stream feature so these dumb bitches can gtfo@Pornhub get on it Katie 3	OFF
	JoeBudden  stop being scared to choke her during sex u bitch ass niggas She #8217 ll like it Says the guy who hits women out of bed FOH	OFF
	Johnny55Perez  @white_thunduh ha well iguess I make them hoes loyal brotheyll never be loyal that y they hoes my nig	OFF
	KazAtta  @1TAKEHOV Oh manits 5 am  you off a molly  ho where the fuck ya seed at#fixed	OFF
	KelsieBelsi  You're not a man if you refer to every girl as a bitch	OFF
	KeyshawnSwag  Lmfao this cat started beating the shit out of memy nigga finally got some pussy MY NIGGA	OFF
	KeyshawnSwag  Peel up peel up bring it back up rewind back where I'm from they move Shaq from the lineooooow who tf said that trash	NOT
	KingCuh  @16stanleys io io alu record ho vine sai pe hahahahalol anywaaaaaays haha	OFF
	KingHendo95  @VonDreaam naw it's my old tape new cover  my upcoming mixtape is #KingOfTheHillYeah I'm waiting on that hoe Mayne	OFF
	KingTeej_  Ol dirty foot ass bitchesthis was too funny to me	OFF
	King_Shawn_6  @white_thunduh that's where I get my yellow flags for being amazing  #128079  #128524 HELL YEAH NIGGY	OFF
	KissMySmilee  Don't got time for bitches to be actin iffy	OFF
	KnightfanNeal #UCFPINKPARTY come on stay alive knights nationThis is still the early bird special #ComeAtMeUT	NOT
	KyraNadiya_  These hoes ain't loyal   no they ain't http //tco/h1UBsVbkGl  Smfh    wonder why nobody decent wants them	OFF
	LCisTJ  Bruh  you studs keep thinking I'm soft as hell Ask ya girl how many times she screamed she was my bitch Oh okay STFUBYE HOE	OFF
	LODYCASH  dry pussy bitches always blame it on the condom #128514 128079  #128514  #128079  #128514 	OFF
	LUNAraps  shut yo bitch ass up https //tco/IemN1u0gm5 #128557  #128514 	OFF
	LaFlareGodJosh  Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back	OFF
	Latrobemark  You love these hoes more then money wats wrong these niggas	OFF
	LeBronVuitton  A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwosounding like me over there lol	OFF
	LiLFridayHOE  Easy cum  easy hoeThat's a fact 	OFF
	LifeAsBros  Charlie Sheen is too real http //tco/gGGdK3kOV7major fucking respect for Charlie Sheen	OFF
	Lightskingawdd  Wish I had a bae  #128533   You got all the hoes tho	OFF
	Lil_Mike_12  Fuck twerking bitch can you cook 	OFF
	Linniekravitz  @WesGodLaFlare bitch wtfhttp //tco/DaSmycxODB	OFF
	Lipe_the_Great   #8220 @h0rheyd @Lipe_the_Great  Shut up zoefight me pussy #8221  for zoe I'm good  manYou are good ma'am Move along now	OFF
	LolaaIsDope  Lmao fucking snake bitches@ em	OFF
	Loveable_Aizah  Big booty hoes everywhere sheesh  #128525 damn  #127807  #128064  #127807 	OFF
	MLBNetwork  Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks@dliming35 #bum	NOT
	M_Rad   #8220 @DezDLT I play soccer  cheat on girls  and wear khaki coloured cargoshaircut http //tco/tYCIhD6PkW #8221  yes lmfaosoccerboy_04	NOT
	MadFlyentist  Oregon chokes every year get off the field trash ass programRFT	OFF
	MannyDiesel  Def not cowboy lol RT @ArtofFloyd  Terrell Owens was the best Eagle    Cowboy everdude cried like a bitch on tv  over Romo	OFF
	MarkRoundtreeJr  LMFAOOOO I HATE BLACK PEOPLE https //tco/RNvD2nLCDRThis is why there's black people and niggers	OFF
	Master11_  @20ToLife_ @GabrielaStarr How could u do this to me bitchpotent	OFF
	MaxMayo77  http //tco/3Jk4kR44X3a pissed lad past out I would lick his dirty soles while he slept	NOT
	MaxMayo77  http //tco/PrrskknqRvlove frat boy w/ soft long soles	NOT
	MaxMayo77  http //tco/XpSC3makgJsexy lad with hot soles and arches	NOT
	MegamindNick  @white_thunduh nah fam I gotta cheat with the hoesdepends on the female i feel	OFF
	Mesha_nojas  @_Vontethekidd  #128079  #128079  #128079  #128079  #128588 I got hicks lol	NOT
	Migsmichelen  This new twitter is confusing the shit out of meGo back to south america bitch	OFF
	Miikito_x3  Toto means ass or vaginaI think pussy cause toto santi is like nasty pussy	OFF
	MikelaHenry  but what if he actually does choose the ugly bitch over you  #58381 Her ass must be fat	OFF
	MileyCyrus  bitch couldn't kill my vibe if ya tried  #127752  #127752  #127752 dis why i love miley   	OFF
	Montrell_  I'm tired of bitches saying I look mean  #128530 nigga you big af  wear tight shirts  and grim everybody	OFF
	MotherJones  10 birds your grandkids may never see  thanks to climate change http //tco/XqmXHkAsWt http //tco/RbITeGRnhm#Climate	NOT
	MvckFadden Stay beautiful you bitch	OFF
	NICKIMINAJ  #WutKinda  r purple Ceeeleeeman this gurl was jus playin on thestupid hoe track But in still shitted on sum gurls	OFF
	NastyCopper  Money getting taller and bitches getting blurry	OFF
	NewsomeJade  I ain't never seen a bitch so obsessed with they nigga #128514 I'm obsessed with mine  #128529 	OFF
	Nicholas_ted33  Kobe stay talking trash But let's not forget http //tco/VH4tnEkvTP@J_Austin12 I meant to do this one Smh	OFF
	NoChillPaz At least I'm not a niggerhttp //tco/RGJa7CfoiT  Lmfao	OFF
	No_FAKINGG  People always asking me what I'm mixed withShe a bad asian bitch lol	OFF
	NotoriousBM95  @_WhitePonyJr_ Ariza is a snake and a cowardbut at least he isn't a cripple like your hero Roach lmaoo	OFF
	OSAY_it_aint_so   #8220 @IgnoreAllLaws  Fosters home for imaginary trash #8221  WHOA CHILL  that show was everything tf	NOT
	OfficialReplay  I am lowkey tiredif you tired  be quiet and go to sleep hoe	OFF
	PRAYINGFORHEAD   #8220 @macklemroe  Stop bringing weird niggers into my mentions @PRAYINGFORHEAD #8221  http //tco/cussDJesRK	OFF
	PRETTyBOSs_BRAt  We don't love these hoes  #128080  #128581 	OFF
	PatrickQuelo  If yo girl cant have homeboys you a ol weak bitch ass nigga	OFF
	Patsfanjoe32  @d_palomino52 I think worst advice I gave you was don't be a pussy and speed uplol	OFF
	PoemsPorn  Quote this tweet with your favorite animalpussy	OFF
	Poetic_Success  I hate when strippers tell you they'redancers Hoe  ballet dancers don't pop their pussy to Beethoven You a STRIPPER	OFF
	Poffalicious  Andrewbryant  Poff has double vision after 2 beers Poff   Double pussy  #128526 smh	OFF
	Poobie_  When bitches TWERK on the computer  ME In ya  #128089   in ya damn  #128089  #8252  #65039 	OFF
	ProdsJewel_   #8220 @sreadthepeace   #8220 @yungmindless  @PeacePunkPrince Prince  THIS is art http //tco/EPHRWxMBHr #8221  nobody takin his bitch	OFF
	QUAN1T0  61% of welfare/government aid is claimed by white people So y'all black slander is trash now	NOT
	QUAN1T0  These bitches don't care they just play that role	OFF
	Queen_Kaaat  It took a while for you to find me  but I was hiding In the lime tree @Iemonaids dis bitch in da wrong tree bro	OFF
	RTNBA  Drakes new shoes that will be released by Nike/Jordan Yes  there's glitter on the shoes http //tco/QCtPLxHEXMdudes a fag	OFF
	RachieSoul  @DizzleOfficial inna di ghettoYou alone lmaoo	NOT
	RamBoutIt   #8220 @Master11_  @20ToLife_ @RamBoutIt hoes Austin #8221  teach us AustinI teach u how to get curved That's all I know	NOT
	ReachtheeCLIMAX  bitches can't cook but know how to suck dick s/o to the ones that can do both	OFF
	RenegadeMo  Fat hoes get choselol	OFF
	RiahSM  #hoesaintloyalwell they're hoes no one expects them to be loyal	OFF
	RishaaWilliams  @TRESHON_SCROOGE @_Nevertrustt ol bitch asshttp //tco/AmcOinY0wG	OFF
	RnadJorell  Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of badlmaooo	OFF
	SacTownProdigy  Just because tony romo at the mavs game dont mean he still not a bitch lmao Fuk them cowgirlslol bitch fuck you	OFF
	SamJLayman   Holy shit  Freddie Highmore was in Charlie and the Chocolate Factory Me   rolls on the floor  laughing 	OFF
	Samirahusic_ I don't want to have sex with my gf because I feel like I'm using her- anonymousWhata faggot	OFF
	SexualGxfs  @ One of your followers with this  #128525  #128553  http //tco/F1TJl9xnCT@ somebody  bitch if you don't	OFF
	Shaa_Jenkins  If ya bitch always bitching clearly she careOr just an annoying Bitch	OFF
	ShanTaughtHer  These catfish hoes thinkin they slick But niggas catching on  #128524 	OFF
	SheWentToJordan  Can't worry about a bitch that ain't worried bout me#real	OFF
	ShowArrive  Side hoes are for insecure niggas that can't handle a real one	OFF
	Shun_stokes   #128514  #128514  #128514  #128514 RT @bluprint_4  Lmao This bitch come scooting in the tent like she about to fuck some shit up #128557  #128557  #128557 	OFF
	Shun_stokes  My cousin said he share hoes with his brothers He said sharing is caring and he love his brothers  #128514 	OFF
	SlimGirl_Probz  i'm hungry but ionn wanna spend my money on food #128530 Broke hoe problems  #128514  #128514  #128514  #128128 	OFF
	SmeegBaby  Dese hoes be LYIN to all of us nigga	OFF
	SnakecharmsDump  http //tco/4b427dQZCVoh yeah fuck that bitch	OFF
	SportsCenter  Eli Manning just threw his NFL-leading 27th interception of the seasonLmao trash	NOT
	SportsCenter  USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team  #187  http //tco/JOOsdSubIRhe's a bitch	NOT
	StellaTex  Guess what I also have zero time for your mansplaining AdiosStfu pussy	OFF
	Stephenwildboy  Chilling  #128069  #8482  http //tco/mik3iPNle6sexy scally lad	NOT
	Strap__  I ain't sharing no bitch if you mines you mines  #128175 	OFF
	SukMySweetness  money only impress the simple broke bitches	OFF
	Sylvieamx  #Pisces will never be anybody's bitch  they don't let people control or change themRigghhht	OFF
	TEE_JONEZ  @16stanleys @KingCuh tuku ho idk blah blah blah #128514  #128514  #128514 	NOT
	TEE_JONEZ  @KingCuh @16stanleys I'm not mad cuh hahahasuure tuku ho ita  #128514  #128514 	NOT
	TayKnosBest  These hoes is crazy	OFF
	Taylorr_Babee  You ain't ever gonna be a slice bitchKevin hart ( 	OFF
	ThatniggaTroy  Oomf so fuckin fine tho  #128553  dam@ her  don't be no bitch	OFF
	TheGamerKingKev  I wonder if the girl that gave head to 24 boys for a drink in magaluf has twittershe probly sends nudes for fags	OFF
	TheNewSAT  #NewSATQuestions Yeah bitch  yeah bitch  call me _______  a) Maybe b) Steve-O c) Later d) Jesse Pinkman @machinegunkelly	OFF
	TheNymphoTweets  Hickies in between her thighs right by her pussy  gt  gt  gt Its only right	OFF
	TheOneMiss_Luu  Would you still love me when I'm no longer young and beautifulNo Ugly monkey ass	OFF
	TheRealRickyB21  @JetsAndASwisher @Gook____ y'all come through the frontbitch I ain't coming	OFF
	TheRealRickyB21  @JetsAndASwisher faggot bitchhttp //tco/2HyyAbk4eH	OFF
	The_Realist_Sam  @Madrid2_ yea  I'm on my iPad I don't work this Friday Let's ball this faggot up @TropicalBlanketi work 2-5	OFF
	Theo17100  http //tco/BYj1HOyhmGthis scally lad would get it	NOT
	TheoMaxximus  #GerrysHalloweenParty http //tco/3ycrSrnjHcHalloween was yesterday stupid nigger	OFF
	TheoMaxximus  Chrus still supahot tho walks up to teacher with test  drops test in that bitch fohead  http //tco/nb5VgdssgI	OFF
	Thornton25   #8220 @KantKeepAhBYTCH  I love eating pussy lol I never get full lol #8221  I can eat that shit forever loland ever	OFF
	Tmacc_GFG   #8220 @VoiceOfDStreetz @Tmacc_GFG   #8220 @tizzimarie  No slushes  #128549  #8221 hoes nasty anyway fam128564  #8221 them hoes taste like meds127815  #127815  #127868 	OFF
	Tmacc_GFG   #8220 @tizzimarie  No slushes  #128549  #8221 hoes nasty anyway fam128564 	OFF
	Tmacc_GFG  BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuckhell yea i play that hoe before my workout	OFF
	TreLeKidd  Yo bitch is Gucci Mane RT @JabariTheGreat   My bitch a stoner  #128175  #128175  http //tco/lt9LIJjpg9128514  #128514  #128514  #128514  #128514  #128514 	OFF
	TweetGameLazy  I can ride your bitch with no handle bars	OFF
	TyJonCuffee  And if you ain't a hoe get up out my traphoussseeeee	OFF
	UberFacts  15 sad TV character deaths we're still bitter over http //tco/uLclFUF8nC http //tco/1RXYQOOsM0ned stark was the man	NOT
	UnHoly_Jack  These harbor bitches are allParty Bus hoesLol all	OFF
	Vbomb20  @Woodchuck20 pussylove it	OFF
	VeronikaHumbert  Ultraviolence video  its coming you little bitch #MTVHottest Lana Del Rey http //tco/533fLbvWqh  bitchy promo	OFF
	VineForTheByrd  On my way to fuck your bitch https //tco/4lMTFNL2iy  LMFAO KITTYCOPTER	OFF
	WBUR  A smuggler explains how he helped fighters along theJihadi Highway  http //tco/UX4anxeAwd	NOT
	WBeezy_ @QuaTheGreat  Aww their avis look so cute together  #128145  http //tco/9lPorCb8w0 #128128  #128128  #128128 do I gotta get Ike avi on this bitch 	OFF
	WBeezy_ @Run_DRC  Its simple  dont be a hoe=dont worry about being exposed  #128540 fight mewhy 	OFF
	WannabeKanye  whys this bitch boosting herself http //tco/uOd2f5WtKV  Her size isn't exactly the most healthy tho	OFF
	WitHaPrettyface  @_1nonlykeisha bet not be no bitches  #128514  #128080  #128299  #128299  #128298  #128514  #128514  Kim bye	OFF
	X_XPDOTJDOT  Damn near gotta protect my tweets stalkers being annoyingyou got that dope dick Drive these bitches loco	OFF
	XoJennyGirl  I'm making marack my girlfriend @marackaf aye b you pullin hoes just like o taught you	OFF
	XoXo__Angiee  Bruno fag boyyou love me	OFF
	YEHits_Von   #8220 @Run_DRC  I must be a bitch #8221  you are  #128514  #128514  #128514  sike nawThis why we always beefing  #128514 	OFF
	Yankees  Down 6-1  #Yankees look to rally in the bottom of the 9th#RALLYCAP	NOT
	YoungRicooo   #8220 @WexicanAfro702  Don't take advantage of a nice person #8221 @ hoes everyjuan	OFF
	YoungRicooo  Happy birthday bitch nigga @WexicanAfro702Thanks pal	OFF
	YoungRicooo  Sad knowing that most hoes won't fuck with you bc you ain't got stackswait till friday	OFF
	YunGMiGo  @Shane_A1 cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca	OFF
	ZoeBarton3  @h0rheyd ewww I said THAT last Sundayas in the last Sunday I was there Read it again nigs128563  #128563  #128563  #128563  #128563 	OFF
	_BaDa_Bing  I only punch real niggas in the face cause a pussy Nigga is gonna punch me right backStrong Mush or Shake	OFF
	_BeeDontCare My pussy still fresh ----- something stank girls say	OFF
	_GeeWillikers_  Ass slapping is one the greatest things Haha  #128527 I slapped a girl on the ass  She got mad I aint get pussy for a week	OFF
	_TommyCollins  @WeAreRichnow @buffalobills yeah Texans are so much better you fucking retardI see that you're mad about this	OFF
	__MALIBUbarbie  Nd wtf is up with dark bitches with blonde PLEASE HAVE SEVERAL SEATS HOElooking like black  milds out here	OFF
	__Sugga  There's a lane some bitches need to stay in  #128526 the left n get right the fuck outta our face  #128557  #128129  #128536 	OFF
	__sneakyb  I hate when boys deny that they have bitches  #128080  #128553 smh	OFF
